,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
1,9.75,3.523362819972964,75.14845139648733,4.488540911384216,2.9159172032831813,11.121320343559642,186,230.15384615384616,255
2,7.5,3.0901936161855166,-4.8173771957915985,4.4588349212919836,2.14136821012496,9.707106781186548,133,183.93333333333334,202
3,9.25,3.431831258788849,87.10954754480035,4.375474587522725,2.7036213440629706,10.414213562373096,151,201.40540540540542,215
4,5.25,2.5854414729132054,-90.00003218077504,4.0,1.632993161855452,8.0,145,196.9047619047619,218
5,4.5,2.393653682408596,-90.00003218077504,3.415650255319866,1.632993161855452,7.0,146,154.11111111111111,164
6,8.75,3.3377905890622728,-90.00003218077504,4.0,2.8284271247461903,10.0,140,225.94285714285715,250
7,30.5,6.231677632421503,-8.42300762294706,8.901750151737259,4.804863482816622,24.949747468305834,133,180.86065573770492,243
8,13.25,4.1073621666150775,76.46395623214424,7.586707725133942,2.337125972690668,15.82842712474619,159,222.33962264150944,242
9,5.5,2.6462837142006137,2.9019068123068885e-16,4.295875400258422,1.5850541612875173,8.414213562373096,137,200.45454545454547,219
10,13.25,4.1073621666150775,-19.88557594756287,5.108596921973214,3.396403826920459,13.121320343559644,134,180.66037735849056,200
11,7.25,3.0382538898732494,-1.2956802566117962,4.248760002219225,2.190211802999043,9.414213562373096,158,204.51724137931035,219
12,8.5,3.2897623212397704,3.5301131938665296,4.164119104686405,2.6632007122150583,10.121320343559642,171,220.38235294117646,234
13,10.5,3.656366395715726,8.713596247158126,5.634084436595398,2.4278139899774653,12.121320343559642,163,224.88095238095238,242
14,34.25,6.6036697681803656,-78.05327578806431,8.202057263657812,5.817674447459289,23.071067811865472,135,237.45985401459853,255
15,9.0,3.385137501286538,-77.87918998257095,3.7770206154335,3.1040859908339486,10.121320343559642,164,212.38888888888889,229
16,5.5,2.6462837142006137,-79.92651570568822,3.355742125536571,2.0858008137962694,7.707106781186548,135,184.9090909090909,207
17,78.5,9.997464891746821,-78.34981012615026,14.43313238365487,9.954003742650944,55.21320343559643,132,223.4203821656051,255
18,10.75,3.6996385101659595,-77.58756699794245,4.420385133123145,3.345516850646166,11.828427124746192,133,187.34883720930233,202
19,3.25,2.0342144725641096,-50.7347833073675,2.4538628678298764,1.6397000327753144,5.414213562373095,140,146.15384615384616,154
20,31.5,6.333012368467128,-2.0618496452942043,9.019916677291416,4.617261923463685,21.94974746830583,141,221.18253968253967,238
21,4.0,2.256758334191025,-0.0,2.449489742783178,2.179449471770337,6.414213562373095,132,147.3125,158
22,16.0,4.51351666838205,9.271351190851249,4.972416267995187,4.22229923534285,14.363961030678926,149,221.125,253
23,7.0,2.985410660720923,-79.55712771642142,4.090892905824019,2.6028444661007635,10.121320343559644,151,192.39285714285714,208
